dataset,expression,chain_of_thought,answer
train,((48 * 33) - (44 * 38)),"[""Compute 48 * 33 = 1584."", ""Compute 44 * 38 = 1672."", ""Compute 1584 - 1672 = -88.""]",-88
train,(9 + 20),"[""Compute 9 + 20 = 29.""]",29
train,((32 * 37) - (43 + 22)),"[""Compute 32 * 37 = 1184."", ""Compute 43 + 22 = 65."", ""Compute 1184 - 65 = 1119.""]",1119
train,(16 - 27),"[""Compute 16 - 27 = -11.""]",-11
train,((49 + 1) + (36 * 44)),"[""Compute 49 + 1 = 50."", ""Compute 36 * 44 = 1584."", ""Compute 50 + 1584 = 1634.""]",1634
train,(11 + 18),"[""Compute 11 + 18 = 29.""]",29
train,(12 + 43),"[""Compute 12 + 43 = 55.""]",55
train,((21 - 20) + (47 - 11)),"[""Compute 21 - 20 = 1."", ""Compute 47 - 11 = 36."", ""Compute 1 + 36 = 37.""]",37
train,(33 - 49),"[""Compute 33 - 49 = -16.""]",-16
train,(34 * 44),"[""Compute 34 * 44 = 1496.""]",1496
train,(10 * 50),"[""Compute 10 * 50 = 500.""]",500
train,(19 - 24),"[""Compute 19 - 24 = -5.""]",-5
train,((26 + 39) - (15 - 32)),"[""Compute 26 + 39 = 65."", ""Compute 15 - 32 = -17."", ""Compute 65 - -17 = 82.""]",82
train,((14 + 38) * (34 * 11)),"[""Compute 14 + 38 = 52."", ""Compute 34 * 11 = 374."", ""Compute 52 * 374 = 19448.""]",19448
train,(28 * 25),"[""Compute 28 * 25 = 700.""]",700
train,((24 - 4) * (35 * 21)),"[""Compute 24 - 4 = 20."", ""Compute 35 * 21 = 735."", ""Compute 20 * 735 = 14700.""]",14700
train,((47 + 37) + (23 * 25)),"[""Compute 47 + 37 = 84."", ""Compute 23 * 25 = 575."", ""Compute 84 + 575 = 659.""]",659
train,((39 + 17) + (27 * 27)),"[""Compute 39 + 17 = 56."", ""Compute 27 * 27 = 729."", ""Compute 56 + 729 = 785.""]",785
train,(46 * 16),"[""Compute 46 * 16 = 736.""]",736
train,((33 * 26) * (31 * 37)),"[""Compute 33 * 26 = 858."", ""Compute 31 * 37 = 1147."", ""Compute 858 * 1147 = 984126.""]",984126
train,(41 + 29),"[""Compute 41 + 29 = 70.""]",70
train,(7 * 21),"[""Compute 7 * 21 = 147.""]",147
train,((10 * 4) + (41 - 29)),"[""Compute 10 * 4 = 40."", ""Compute 41 - 29 = 12."", ""Compute 40 + 12 = 52.""]",52
train,(14 + 31),"[""Compute 14 + 31 = 45.""]",45
train,(4 - 22),"[""Compute 4 - 22 = -18.""]",-18
train,(31 * 36),"[""Compute 31 * 36 = 1116.""]",1116
train,(37 + 41),"[""Compute 37 + 41 = 78.""]",78
train,((38 * 18) + (42 - 31)),"[""Compute 38 * 18 = 684."", ""Compute 42 - 31 = 11."", ""Compute 684 + 11 = 695.""]",695
train,((18 - 32) * (3 - 11)),"[""Compute 18 - 32 = -14."", ""Compute 3 - 11 = -8."", ""Compute -14 * -8 = 112.""]",112
train,(33 * 48),"[""Compute 33 * 48 = 1584.""]",1584
train,(16 - 41),"[""Compute 16 - 41 = -25.""]",-25
train,(42 * 42),"[""Compute 42 * 42 = 1764.""]",1764
train,((18 * 47) * (12 - 7)),"[""Compute 18 * 47 = 846."", ""Compute 12 - 7 = 5."", ""Compute 846 * 5 = 4230.""]",4230
train,((24 + 44) * (3 * 44)),"[""Compute 24 + 44 = 68."", ""Compute 3 * 44 = 132."", ""Compute 68 * 132 = 8976.""]",8976
train,(26 - 44),"[""Compute 26 - 44 = -18.""]",-18
train,((44 - 22) + (28 - 43)),"[""Compute 44 - 22 = 22."", ""Compute 28 - 43 = -15."", ""Compute 22 + -15 = 7.""]",7
train,((22 + 47) - (31 + 29)),"[""Compute 22 + 47 = 69."", ""Compute 31 + 29 = 60."", ""Compute 69 - 60 = 9.""]",9
train,(38 + 4),"[""Compute 38 + 4 = 42.""]",42
train,(6 * 8),"[""Compute 6 * 8 = 48.""]",48
train,(46 + 50),"[""Compute 46 + 50 = 96.""]",96
train,(37 * 49),"[""Compute 37 * 49 = 1813.""]",1813
train,((4 - 26) + (5 * 15)),"[""Compute 4 - 26 = -22."", ""Compute 5 * 15 = 75."", ""Compute -22 + 75 = 53.""]",53
train,((3 + 21) * (21 - 39)),"[""Compute 3 + 21 = 24."", ""Compute 21 - 39 = -18."", ""Compute 24 * -18 = -432.""]",-432
train,(35 * 15),"[""Compute 35 * 15 = 525.""]",525
train,((17 - 36) * (13 - 35)),"[""Compute 17 - 36 = -19."", ""Compute 13 - 35 = -22."", ""Compute -19 * -22 = 418.""]",418
train,((39 + 1) * (9 + 26)),"[""Compute 39 + 1 = 40."", ""Compute 9 + 26 = 35."", ""Compute 40 * 35 = 1400.""]",1400
train,(18 - 27),"[""Compute 18 - 27 = -9.""]",-9
train,((39 + 10) - (27 + 4)),"[""Compute 39 + 10 = 49."", ""Compute 27 + 4 = 31."", ""Compute 49 - 31 = 18.""]",18
train,(7 - 49),"[""Compute 7 - 49 = -42.""]",-42
train,(18 - 34),"[""Compute 18 - 34 = -16.""]",-16
train,((49 + 34) - (39 * 39)),"[""Compute 49 + 34 = 83."", ""Compute 39 * 39 = 1521."", ""Compute 83 - 1521 = -1438.""]",-1438
train,(41 * 27),"[""Compute 41 * 27 = 1107.""]",1107
train,((24 + 49) * (29 * 17)),"[""Compute 24 + 49 = 73."", ""Compute 29 * 17 = 493."", ""Compute 73 * 493 = 35989.""]",35989
train,(3 * 50),"[""Compute 3 * 50 = 150.""]",150
train,(6 - 45),"[""Compute 6 - 45 = -39.""]",-39
train,((31 * 7) + (1 + 47)),"[""Compute 31 * 7 = 217."", ""Compute 1 + 47 = 48."", ""Compute 217 + 48 = 265.""]",265
train,(19 + 25),"[""Compute 19 + 25 = 44.""]",44
train,((47 * 32) - (36 + 7)),"[""Compute 47 * 32 = 1504."", ""Compute 36 + 7 = 43."", ""Compute 1504 - 43 = 1461.""]",1461
train,(24 * 15),"[""Compute 24 * 15 = 360.""]",360
train,((38 * 6) + (41 * 33)),"[""Compute 38 * 6 = 228."", ""Compute 41 * 33 = 1353."", ""Compute 228 + 1353 = 1581.""]",1581
train,((47 - 11) * (34 * 32)),"[""Compute 47 - 11 = 36."", ""Compute 34 * 32 = 1088."", ""Compute 36 * 1088 = 39168.""]",39168
train,(43 - 34),"[""Compute 43 - 34 = 9.""]",9
train,(24 * 22),"[""Compute 24 * 22 = 528.""]",528
train,(20 * 6),"[""Compute 20 * 6 = 120.""]",120
train,((29 - 43) * (28 * 17)),"[""Compute 29 - 43 = -14."", ""Compute 28 * 17 = 476."", ""Compute -14 * 476 = -6664.""]",-6664
train,((27 + 23) * (4 - 41)),"[""Compute 27 + 23 = 50."", ""Compute 4 - 41 = -37."", ""Compute 50 * -37 = -1850.""]",-1850
train,((20 * 25) - (36 * 14)),"[""Compute 20 * 25 = 500."", ""Compute 36 * 14 = 504."", ""Compute 500 - 504 = -4.""]",-4
train,((17 * 10) * (24 * 11)),"[""Compute 17 * 10 = 170."", ""Compute 24 * 11 = 264."", ""Compute 170 * 264 = 44880.""]",44880
train,((38 - 24) * (25 * 21)),"[""Compute 38 - 24 = 14."", ""Compute 25 * 21 = 525."", ""Compute 14 * 525 = 7350.""]",7350
train,(7 * 20),"[""Compute 7 * 20 = 140.""]",140
train,(46 * 44),"[""Compute 46 * 44 = 2024.""]",2024
train,((20 * 42) * (13 - 45)),"[""Compute 20 * 42 = 840."", ""Compute 13 - 45 = -32."", ""Compute 840 * -32 = -26880.""]",-26880
train,((3 - 7) - (36 * 27)),"[""Compute 3 - 7 = -4."", ""Compute 36 * 27 = 972."", ""Compute -4 - 972 = -976.""]",-976
train,((39 * 43) + (28 * 34)),"[""Compute 39 * 43 = 1677."", ""Compute 28 * 34 = 952."", ""Compute 1677 + 952 = 2629.""]",2629
train,((13 - 37) + (14 + 18)),"[""Compute 13 - 37 = -24."", ""Compute 14 + 18 = 32."", ""Compute -24 + 32 = 8.""]",8
train,((42 + 43) * (49 * 50)),"[""Compute 42 + 43 = 85."", ""Compute 49 * 50 = 2450."", ""Compute 85 * 2450 = 208250.""]",208250
train,((21 - 14) * (16 + 18)),"[""Compute 21 - 14 = 7."", ""Compute 16 + 18 = 34."", ""Compute 7 * 34 = 238.""]",238
train,((30 - 5) * (14 + 14)),"[""Compute 30 - 5 = 25."", ""Compute 14 + 14 = 28."", ""Compute 25 * 28 = 700.""]",700
train,((26 * 24) - (7 + 24)),"[""Compute 26 * 24 = 624."", ""Compute 7 + 24 = 31."", ""Compute 624 - 31 = 593.""]",593
train,(13 + 25),"[""Compute 13 + 25 = 38.""]",38
train,((10 + 20) - (38 + 49)),"[""Compute 10 + 20 = 30."", ""Compute 38 + 49 = 87."", ""Compute 30 - 87 = -57.""]",-57
train,((6 - 23) + (31 + 45)),"[""Compute 6 - 23 = -17."", ""Compute 31 + 45 = 76."", ""Compute -17 + 76 = 59.""]",59
train,((21 * 15) - (40 - 20)),"[""Compute 21 * 15 = 315."", ""Compute 40 - 20 = 20."", ""Compute 315 - 20 = 295.""]",295
train,((42 * 26) * (46 + 13)),"[""Compute 42 * 26 = 1092."", ""Compute 46 + 13 = 59."", ""Compute 1092 * 59 = 64428.""]",64428
train,((20 * 44) * (34 - 41)),"[""Compute 20 * 44 = 880."", ""Compute 34 - 41 = -7."", ""Compute 880 * -7 = -6160.""]",-6160
train,(26 + 33),"[""Compute 26 + 33 = 59.""]",59
train,((8 + 28) + (33 * 50)),"[""Compute 8 + 28 = 36."", ""Compute 33 * 50 = 1650."", ""Compute 36 + 1650 = 1686.""]",1686
train,(26 * 21),"[""Compute 26 * 21 = 546.""]",546
train,(10 - 7),"[""Compute 10 - 7 = 3.""]",3
train,((48 + 41) * (46 * 42)),"[""Compute 48 + 41 = 89."", ""Compute 46 * 42 = 1932."", ""Compute 89 * 1932 = 171948.""]",171948
train,((17 - 10) - (3 + 26)),"[""Compute 17 - 10 = 7."", ""Compute 3 + 26 = 29."", ""Compute 7 - 29 = -22.""]",-22
train,((30 * 45) * (5 - 3)),"[""Compute 30 * 45 = 1350."", ""Compute 5 - 3 = 2."", ""Compute 1350 * 2 = 2700.""]",2700
train,(25 * 2),"[""Compute 25 * 2 = 50.""]",50
train,((8 + 2) * (37 + 19)),"[""Compute 8 + 2 = 10."", ""Compute 37 + 19 = 56."", ""Compute 10 * 56 = 560.""]",560
train,(10 * 33),"[""Compute 10 * 33 = 330.""]",330
train,(4 + 30),"[""Compute 4 + 30 = 34.""]",34
train,(8 * 44),"[""Compute 8 * 44 = 352.""]",352
train,(50 + 32),"[""Compute 50 + 32 = 82.""]",82
train,((8 + 23) - (23 - 28)),"[""Compute 8 + 23 = 31."", ""Compute 23 - 28 = -5."", ""Compute 31 - -5 = 36.""]",36
train,(1 * 6),"[""Compute 1 * 6 = 6.""]",6
train,(36 + 14),"[""Compute 36 + 14 = 50.""]",50
train,(44 + 10),"[""Compute 44 + 10 = 54.""]",54
train,((19 * 41) * (15 + 32)),"[""Compute 19 * 41 = 779."", ""Compute 15 + 32 = 47."", ""Compute 779 * 47 = 36613.""]",36613
train,(46 * 34),"[""Compute 46 * 34 = 1564.""]",1564
train,((40 - 7) - (13 - 35)),"[""Compute 40 - 7 = 33."", ""Compute 13 - 35 = -22."", ""Compute 33 - -22 = 55.""]",55
train,((19 - 25) + (44 - 22)),"[""Compute 19 - 25 = -6."", ""Compute 44 - 22 = 22."", ""Compute -6 + 22 = 16.""]",16
train,(15 + 45),"[""Compute 15 + 45 = 60.""]",60
train,(19 + 27),"[""Compute 19 + 27 = 46.""]",46
train,((42 + 12) - (16 * 6)),"[""Compute 42 + 12 = 54."", ""Compute 16 * 6 = 96."", ""Compute 54 - 96 = -42.""]",-42
train,(18 * 17),"[""Compute 18 * 17 = 306.""]",306
train,((14 * 19) - (12 - 13)),"[""Compute 14 * 19 = 266."", ""Compute 12 - 13 = -1."", ""Compute 266 - -1 = 267.""]",267
train,((33 - 9) * (21 * 33)),"[""Compute 33 - 9 = 24."", ""Compute 21 * 33 = 693."", ""Compute 24 * 693 = 16632.""]",16632
train,((22 * 9) + (40 - 11)),"[""Compute 22 * 9 = 198."", ""Compute 40 - 11 = 29."", ""Compute 198 + 29 = 227.""]",227
train,(47 - 38),"[""Compute 47 - 38 = 9.""]",9
train,((43 + 10) * (20 * 8)),"[""Compute 43 + 10 = 53."", ""Compute 20 * 8 = 160."", ""Compute 53 * 160 = 8480.""]",8480
train,((1 - 47) * (30 * 34)),"[""Compute 1 - 47 = -46."", ""Compute 30 * 34 = 1020."", ""Compute -46 * 1020 = -46920.""]",-46920
train,((13 - 27) * (32 - 20)),"[""Compute 13 - 27 = -14."", ""Compute 32 - 20 = 12."", ""Compute -14 * 12 = -168.""]",-168
train,((12 - 3) * (11 + 23)),"[""Compute 12 - 3 = 9."", ""Compute 11 + 23 = 34."", ""Compute 9 * 34 = 306.""]",306
train,(22 * 33),"[""Compute 22 * 33 = 726.""]",726
train,((24 * 34) * (7 * 25)),"[""Compute 24 * 34 = 816."", ""Compute 7 * 25 = 175."", ""Compute 816 * 175 = 142800.""]",142800
train,((34 + 26) + (36 * 14)),"[""Compute 34 + 26 = 60."", ""Compute 36 * 14 = 504."", ""Compute 60 + 504 = 564.""]",564
train,((38 - 15) - (12 * 37)),"[""Compute 38 - 15 = 23."", ""Compute 12 * 37 = 444."", ""Compute 23 - 444 = -421.""]",-421
train,(29 - 41),"[""Compute 29 - 41 = -12.""]",-12
train,((47 + 49) - (40 - 46)),"[""Compute 47 + 49 = 96."", ""Compute 40 - 46 = -6."", ""Compute 96 - -6 = 102.""]",102
train,((2 - 2) + (17 * 10)),"[""Compute 2 - 2 = 0."", ""Compute 17 * 10 = 170."", ""Compute 0 + 170 = 170.""]",170
train,(45 + 42),"[""Compute 45 + 42 = 87.""]",87
train,(41 - 17),"[""Compute 41 - 17 = 24.""]",24
train,((34 + 33) - (42 - 10)),"[""Compute 34 + 33 = 67."", ""Compute 42 - 10 = 32."", ""Compute 67 - 32 = 35.""]",35
train,(32 - 14),"[""Compute 32 - 14 = 18.""]",18
train,((45 + 32) + (50 * 4)),"[""Compute 45 + 32 = 77."", ""Compute 50 * 4 = 200."", ""Compute 77 + 200 = 277.""]",277
train,(33 - 13),"[""Compute 33 - 13 = 20.""]",20
train,(37 * 26),"[""Compute 37 * 26 = 962.""]",962
train,((48 - 11) - (30 * 33)),"[""Compute 48 - 11 = 37."", ""Compute 30 * 33 = 990."", ""Compute 37 - 990 = -953.""]",-953
train,((34 * 16) * (1 - 46)),"[""Compute 34 * 16 = 544."", ""Compute 1 - 46 = -45."", ""Compute 544 * -45 = -24480.""]",-24480
train,(47 * 35),"[""Compute 47 * 35 = 1645.""]",1645
train,(31 * 24),"[""Compute 31 * 24 = 744.""]",744
train,((31 - 18) + (37 * 40)),"[""Compute 31 - 18 = 13."", ""Compute 37 * 40 = 1480."", ""Compute 13 + 1480 = 1493.""]",1493
train,(28 + 1),"[""Compute 28 + 1 = 29.""]",29
train,(10 * 36),"[""Compute 10 * 36 = 360.""]",360
train,((4 - 6) + (32 * 24)),"[""Compute 4 - 6 = -2."", ""Compute 32 * 24 = 768."", ""Compute -2 + 768 = 766.""]",766
train,((18 + 27) - (21 + 44)),"[""Compute 18 + 27 = 45."", ""Compute 21 + 44 = 65."", ""Compute 45 - 65 = -20.""]",-20
train,(13 - 11),"[""Compute 13 - 11 = 2.""]",2
train,(17 - 27),"[""Compute 17 - 27 = -10.""]",-10
train,(10 - 5),"[""Compute 10 - 5 = 5.""]",5
train,(44 + 34),"[""Compute 44 + 34 = 78.""]",78
train,((11 + 4) - (17 * 5)),"[""Compute 11 + 4 = 15."", ""Compute 17 * 5 = 85."", ""Compute 15 - 85 = -70.""]",-70
train,((34 - 26) + (18 + 38)),"[""Compute 34 - 26 = 8."", ""Compute 18 + 38 = 56."", ""Compute 8 + 56 = 64.""]",64
train,((44 * 19) + (49 + 8)),"[""Compute 44 * 19 = 836."", ""Compute 49 + 8 = 57."", ""Compute 836 + 57 = 893.""]",893
train,(23 + 45),"[""Compute 23 + 45 = 68.""]",68
train,(23 + 3),"[""Compute 23 + 3 = 26.""]",26
train,(47 + 18),"[""Compute 47 + 18 = 65.""]",65
train,(1 * 33),"[""Compute 1 * 33 = 33.""]",33
train,((22 * 19) * (41 - 1)),"[""Compute 22 * 19 = 418."", ""Compute 41 - 1 = 40."", ""Compute 418 * 40 = 16720.""]",16720
train,((1 * 28) * (19 - 27)),"[""Compute 1 * 28 = 28."", ""Compute 19 - 27 = -8."", ""Compute 28 * -8 = -224.""]",-224
train,(30 + 41),"[""Compute 30 + 41 = 71.""]",71
train,(24 + 38),"[""Compute 24 + 38 = 62.""]",62
train,(34 * 36),"[""Compute 34 * 36 = 1224.""]",1224
train,((40 * 34) + (6 * 29)),"[""Compute 40 * 34 = 1360."", ""Compute 6 * 29 = 174."", ""Compute 1360 + 174 = 1534.""]",1534
train,((27 - 25) - (7 * 25)),"[""Compute 27 - 25 = 2."", ""Compute 7 * 25 = 175."", ""Compute 2 - 175 = -173.""]",-173
train,((34 * 24) + (11 + 50)),"[""Compute 34 * 24 = 816."", ""Compute 11 + 50 = 61."", ""Compute 816 + 61 = 877.""]",877
train,((35 + 45) * (48 + 36)),"[""Compute 35 + 45 = 80."", ""Compute 48 + 36 = 84."", ""Compute 80 * 84 = 6720.""]",6720
train,(30 * 23),"[""Compute 30 * 23 = 690.""]",690
train,((10 + 2) - (15 * 30)),"[""Compute 10 + 2 = 12."", ""Compute 15 * 30 = 450."", ""Compute 12 - 450 = -438.""]",-438
train,((49 * 39) - (21 * 25)),"[""Compute 49 * 39 = 1911."", ""Compute 21 * 25 = 525."", ""Compute 1911 - 525 = 1386.""]",1386
train,(17 - 22),"[""Compute 17 - 22 = -5.""]",-5
train,((2 * 7) * (7 - 21)),"[""Compute 2 * 7 = 14."", ""Compute 7 - 21 = -14."", ""Compute 14 * -14 = -196.""]",-196
train,(28 - 12),"[""Compute 28 - 12 = 16.""]",16
train,((1 * 8) * (5 - 35)),"[""Compute 1 * 8 = 8."", ""Compute 5 - 35 = -30."", ""Compute 8 * -30 = -240.""]",-240
train,((1 * 14) + (37 - 50)),"[""Compute 1 * 14 = 14."", ""Compute 37 - 50 = -13."", ""Compute 14 + -13 = 1.""]",1
train,((10 - 46) - (17 - 24)),"[""Compute 10 - 46 = -36."", ""Compute 17 - 24 = -7."", ""Compute -36 - -7 = -29.""]",-29
train,(27 - 4),"[""Compute 27 - 4 = 23.""]",23
train,((22 * 18) * (50 * 23)),"[""Compute 22 * 18 = 396."", ""Compute 50 * 23 = 1150."", ""Compute 396 * 1150 = 455400.""]",455400
train,((32 + 50) + (29 + 32)),"[""Compute 32 + 50 = 82."", ""Compute 29 + 32 = 61."", ""Compute 82 + 61 = 143.""]",143
train,((28 * 48) * (7 - 12)),"[""Compute 28 * 48 = 1344."", ""Compute 7 - 12 = -5."", ""Compute 1344 * -5 = -6720.""]",-6720
train,(48 - 8),"[""Compute 48 - 8 = 40.""]",40
train,(48 - 3),"[""Compute 48 - 3 = 45.""]",45
train,(34 - 50),"[""Compute 34 - 50 = -16.""]",-16
train,(7 * 10),"[""Compute 7 * 10 = 70.""]",70
train,((48 * 16) - (50 + 15)),"[""Compute 48 * 16 = 768."", ""Compute 50 + 15 = 65."", ""Compute 768 - 65 = 703.""]",703
train,((48 * 18) + (44 - 13)),"[""Compute 48 * 18 = 864."", ""Compute 44 - 13 = 31."", ""Compute 864 + 31 = 895.""]",895
train,((46 + 40) - (27 + 31)),"[""Compute 46 + 40 = 86."", ""Compute 27 + 31 = 58."", ""Compute 86 - 58 = 28.""]",28
train,((34 + 36) + (31 * 17)),"[""Compute 34 + 36 = 70."", ""Compute 31 * 17 = 527."", ""Compute 70 + 527 = 597.""]",597
train,((7 * 43) * (27 - 20)),"[""Compute 7 * 43 = 301."", ""Compute 27 - 20 = 7."", ""Compute 301 * 7 = 2107.""]",2107
train,(43 - 46),"[""Compute 43 - 46 = -3.""]",-3
train,((4 - 40) * (6 - 11)),"[""Compute 4 - 40 = -36."", ""Compute 6 - 11 = -5."", ""Compute -36 * -5 = 180.""]",180
train,((43 + 49) + (26 - 31)),"[""Compute 43 + 49 = 92."", ""Compute 26 - 31 = -5."", ""Compute 92 + -5 = 87.""]",87
train,((31 * 9) + (21 + 39)),"[""Compute 31 * 9 = 279."", ""Compute 21 + 39 = 60."", ""Compute 279 + 60 = 339.""]",339
train,((33 + 21) * (11 - 2)),"[""Compute 33 + 21 = 54."", ""Compute 11 - 2 = 9."", ""Compute 54 * 9 = 486.""]",486
train,(27 + 34),"[""Compute 27 + 34 = 61.""]",61
train,(1 + 29),"[""Compute 1 + 29 = 30.""]",30
train,(38 * 19),"[""Compute 38 * 19 = 722.""]",722
train,(7 * 30),"[""Compute 7 * 30 = 210.""]",210
train,((10 - 46) - (37 + 34)),"[""Compute 10 - 46 = -36."", ""Compute 37 + 34 = 71."", ""Compute -36 - 71 = -107.""]",-107
train,((14 - 8) - (30 + 13)),"[""Compute 14 - 8 = 6."", ""Compute 30 + 13 = 43."", ""Compute 6 - 43 = -37.""]",-37
train,(49 - 6),"[""Compute 49 - 6 = 43.""]",43
train,(13 - 40),"[""Compute 13 - 40 = -27.""]",-27
train,((48 * 2) * (3 + 22)),"[""Compute 48 * 2 = 96."", ""Compute 3 + 22 = 25."", ""Compute 96 * 25 = 2400.""]",2400
train,(2 - 12),"[""Compute 2 - 12 = -10.""]",-10
train,(39 * 16),"[""Compute 39 * 16 = 624.""]",624
train,(44 + 5),"[""Compute 44 + 5 = 49.""]",49
train,(35 - 11),"[""Compute 35 - 11 = 24.""]",24
train,(1 + 28),"[""Compute 1 + 28 = 29.""]",29
train,(36 + 48),"[""Compute 36 + 48 = 84.""]",84
train,(24 * 27),"[""Compute 24 * 27 = 648.""]",648
train,(11 + 32),"[""Compute 11 + 32 = 43.""]",43
train,(42 * 39),"[""Compute 42 * 39 = 1638.""]",1638
train,((38 + 46) - (25 * 35)),"[""Compute 38 + 46 = 84."", ""Compute 25 * 35 = 875."", ""Compute 84 - 875 = -791.""]",-791
train,(2 + 5),"[""Compute 2 + 5 = 7.""]",7
train,(37 - 19),"[""Compute 37 - 19 = 18.""]",18
train,((31 - 8) + (23 + 34)),"[""Compute 31 - 8 = 23."", ""Compute 23 + 34 = 57."", ""Compute 23 + 57 = 80.""]",80
train,(45 - 46),"[""Compute 45 - 46 = -1.""]",-1
train,((20 + 20) * (6 + 34)),"[""Compute 20 + 20 = 40."", ""Compute 6 + 34 = 40."", ""Compute 40 * 40 = 1600.""]",1600
train,((13 * 16) * (32 + 5)),"[""Compute 13 * 16 = 208."", ""Compute 32 + 5 = 37."", ""Compute 208 * 37 = 7696.""]",7696
train,((35 + 50) - (49 + 5)),"[""Compute 35 + 50 = 85."", ""Compute 49 + 5 = 54."", ""Compute 85 - 54 = 31.""]",31
train,(35 * 32),"[""Compute 35 * 32 = 1120.""]",1120
train,(22 - 48),"[""Compute 22 - 48 = -26.""]",-26
train,(17 + 39),"[""Compute 17 + 39 = 56.""]",56
train,((4 + 10) * (1 - 21)),"[""Compute 4 + 10 = 14."", ""Compute 1 - 21 = -20."", ""Compute 14 * -20 = -280.""]",-280
train,(18 - 48),"[""Compute 18 - 48 = -30.""]",-30
train,((24 + 43) - (26 * 40)),"[""Compute 24 + 43 = 67."", ""Compute 26 * 40 = 1040."", ""Compute 67 - 1040 = -973.""]",-973
train,((18 + 20) * (42 + 27)),"[""Compute 18 + 20 = 38."", ""Compute 42 + 27 = 69."", ""Compute 38 * 69 = 2622.""]",2622
train,((38 - 10) * (45 + 46)),"[""Compute 38 - 10 = 28."", ""Compute 45 + 46 = 91."", ""Compute 28 * 91 = 2548.""]",2548
train,((21 - 39) * (43 * 8)),"[""Compute 21 - 39 = -18."", ""Compute 43 * 8 = 344."", ""Compute -18 * 344 = -6192.""]",-6192
train,((17 - 43) - (4 + 34)),"[""Compute 17 - 43 = -26."", ""Compute 4 + 34 = 38."", ""Compute -26 - 38 = -64.""]",-64
train,(25 + 44),"[""Compute 25 + 44 = 69.""]",69
train,((22 + 22) + (7 * 45)),"[""Compute 22 + 22 = 44."", ""Compute 7 * 45 = 315."", ""Compute 44 + 315 = 359.""]",359
train,((39 - 6) * (5 + 50)),"[""Compute 39 - 6 = 33."", ""Compute 5 + 50 = 55."", ""Compute 33 * 55 = 1815.""]",1815
train,(3 + 19),"[""Compute 3 + 19 = 22.""]",22
train,(6 * 31),"[""Compute 6 * 31 = 186.""]",186
train,((34 - 31) * (9 + 9)),"[""Compute 34 - 31 = 3."", ""Compute 9 + 9 = 18."", ""Compute 3 * 18 = 54.""]",54
train,((45 * 17) + (40 * 34)),"[""Compute 45 * 17 = 765."", ""Compute 40 * 34 = 1360."", ""Compute 765 + 1360 = 2125.""]",2125
train,((30 - 4) + (20 - 13)),"[""Compute 30 - 4 = 26."", ""Compute 20 - 13 = 7."", ""Compute 26 + 7 = 33.""]",33
train,((41 - 29) + (1 * 14)),"[""Compute 41 - 29 = 12."", ""Compute 1 * 14 = 14."", ""Compute 12 + 14 = 26.""]",26
train,((9 - 16) + (23 * 7)),"[""Compute 9 - 16 = -7."", ""Compute 23 * 7 = 161."", ""Compute -7 + 161 = 154.""]",154
train,((1 - 22) * (29 * 34)),"[""Compute 1 - 22 = -21."", ""Compute 29 * 34 = 986."", ""Compute -21 * 986 = -20706.""]",-20706
train,((36 - 33) * (3 - 29)),"[""Compute 36 - 33 = 3."", ""Compute 3 - 29 = -26."", ""Compute 3 * -26 = -78.""]",-78
train,((28 * 11) - (47 + 44)),"[""Compute 28 * 11 = 308."", ""Compute 47 + 44 = 91."", ""Compute 308 - 91 = 217.""]",217
train,((24 - 9) + (24 + 16)),"[""Compute 24 - 9 = 15."", ""Compute 24 + 16 = 40."", ""Compute 15 + 40 = 55.""]",55
train,(45 - 30),"[""Compute 45 - 30 = 15.""]",15
train,(48 * 26),"[""Compute 48 * 26 = 1248.""]",1248
train,((5 - 17) + (23 + 28)),"[""Compute 5 - 17 = -12."", ""Compute 23 + 28 = 51."", ""Compute -12 + 51 = 39.""]",39
train,((37 + 30) - (39 + 30)),"[""Compute 37 + 30 = 67."", ""Compute 39 + 30 = 69."", ""Compute 67 - 69 = -2.""]",-2
train,((38 - 13) * (15 - 35)),"[""Compute 38 - 13 = 25."", ""Compute 15 - 35 = -20."", ""Compute 25 * -20 = -500.""]",-500
train,((8 - 50) + (22 * 38)),"[""Compute 8 - 50 = -42."", ""Compute 22 * 38 = 836."", ""Compute -42 + 836 = 794.""]",794
train,(33 - 34),"[""Compute 33 - 34 = -1.""]",-1
train,((36 * 40) + (11 * 47)),"[""Compute 36 * 40 = 1440."", ""Compute 11 * 47 = 517."", ""Compute 1440 + 517 = 1957.""]",1957
train,(39 + 1),"[""Compute 39 + 1 = 40.""]",40
train,(23 * 45),"[""Compute 23 * 45 = 1035.""]",1035
train,(4 - 27),"[""Compute 4 - 27 = -23.""]",-23
train,((25 - 42) + (2 - 6)),"[""Compute 25 - 42 = -17."", ""Compute 2 - 6 = -4."", ""Compute -17 + -4 = -21.""]",-21
train,(6 * 3),"[""Compute 6 * 3 = 18.""]",18
train,(29 * 8),"[""Compute 29 * 8 = 232.""]",232
train,(27 + 40),"[""Compute 27 + 40 = 67.""]",67
train,((32 * 17) * (48 + 46)),"[""Compute 32 * 17 = 544."", ""Compute 48 + 46 = 94."", ""Compute 544 * 94 = 51136.""]",51136
train,((9 * 9) + (1 + 27)),"[""Compute 9 * 9 = 81."", ""Compute 1 + 27 = 28."", ""Compute 81 + 28 = 109.""]",109
